公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,9919269,9457971,9913393,4.87,0.05,34052051,35205170,-3.27,-
1102,亞泥,5930748,5428755,5704976,9.24,3.95,19930073,18909539,5.39,-
1103,嘉泥,365292,286007,373101,27.72,-2.09,1106392,1375071,-19.53,-
1104,環泥,394631,461732,412920,-14.53,-4.42,1642704,1565381,4.93,-
1108,幸福,362054,444917,345557,-18.62,4.77,1565709,1293970,21.0,-
1109,信大,385435,382253,343124,0.83,12.33,1300769,1137877,14.31,-
1110,東泥,171547,166981,118589,2.73,44.65,631774,500865,26.13,-
1201,味全,2434253,2477894,2196329,-1.76,10.83,9270897,8259498,12.24,-
1203,味王,444567,539328,438340,-17.57,1.42,2030184,1960060,3.57,-
1210,大成,7038552,7306534,7217365,-3.66,-2.47,28083280,28306364,-0.78,-
1213,大飲,43163,40517,50248,6.53,-14.1,217856,221308,-1.55,-
1215,卜蜂,1428802,1501808,1328270,-4.86,7.56,5809035,5535183,4.94,-
1216,統一,34649804,35244530,33061386,-1.68,4.8,139310448,130914926,6.41,-
1217,愛之味,321280,329496,295739,-2.49,8.63,1195804,1191066,0.39,-
1218,泰山,858673,732191,826714,17.27,3.86,3247335,3086171,5.22,-
1219,福壽,907277,713899,830531,27.08,9.24,3253540,3208654,1.39,-
1220,台榮,290794,295443,306855,-1.57,-5.23,1075794,1135759,-5.27,-
1225,福懋油,1239446,1179326,1213833,5.09,2.11,4627976,4506953,2.68,-
1227,佳格,1370108,1155495,1459805,18.57,-6.14,6446437,5747998,12.15,-
1229,聯華,447419,431246,422872,3.75,5.8,1704416,1685858,1.1,-
1231,聯華食,377266,383598,362358,-1.65,4.11,1859767,1647521,12.88,-
1232,大統益,1722121,1611300,1509651,6.87,14.07,6604605,5800640,13.85,-
1233,天仁,151661,155401,152956,-2.4,-0.84,685052,672856,1.81,-
1234,黑松,467909,495185,494449,-5.5,-5.36,2042764,2172794,-5.98,-
1235,興泰,21656,25316,29286,-14.45,-26.05,79737,109054,-26.88,-
1236,宏亞,166077,182954,128476,-9.22,29.26,892381,667545,33.68,-
1702,南僑,1093788,1055229,988837,3.65,10.61,4011790,3633656,10.4,-
1737,臺鹽,196596,185832,189187,5.79,3.91,759146,724950,4.71,-
1301,台塑,17943909,17351137,16842603,3.41,6.53,67988451,70063626,-2.96,-
1303,南亞,25055370,23978905,24863035,4.48,0.77,99320480,104118768,-4.6,-
1304,台聚,5083924,4414638,4951458,15.16,2.67,17777452,18475336,-3.77,-
1305,華夏,1415728,1073372,1270800,31.89,11.4,4617596,4874419,-5.26,-
1307,三芳,980160,1025309,927510,-4.4,5.67,3592149,3540975,1.44,-
1308,亞聚,373402,375129,451151,-0.46,-17.23,1600633,1789618,-10.56,-
