公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,10625467,11561838,9543782,-8.09,11.33,48911751,43595833,12.19,-
1102,亞泥,7588325,6735805,6239676,12.65,21.61,30592215,26169749,16.89,-
1103,嘉泥,281325,385738,382601,-27.06,-26.47,1686458,1488993,13.26,本月營收較去年同期減少主係大陸子公司本月水泥銷貨減少所致
1104,環泥,477012,499672,406677,-4.53,17.29,2355845,2049381,14.95,-
1108,幸福,408903,457432,381384,-10.6,7.21,2082974,1947093,6.97,-
1109,信大,546713,493364,328876,10.81,66.23,2232102,1629645,36.96,本月營收增加係因大陸子公司銷售水泥數量增加。
1110,東泥,169148,178352,161033,-5.16,5.03,843221,792807,6.35,-
1201,味全,2500175,2448508,2652825,2.11,-5.75,11562565,11923722,-3.02,-
1203,味王,505641,467621,523073,8.13,-3.33,2474379,2553257,-3.08,-
1210,大成,7742388,7860482,6997335,-1.5,10.64,37566388,35059381,7.15,-
1213,大飲,49003,43192,50838,13.45,-3.6,258238,268694,-3.89,-
1215,卜蜂,1474185,1428903,1333094,3.16,10.58,7061427,7142129,-1.12,-
1216,統一,34996778,34615169,35982680,1.1,-2.73,178235309,175293128,1.67,-
1217,愛之味,359451,298616,387196,20.37,-7.16,1512327,1583000,-4.46,-
1218,泰山,842476,736942,804660,14.32,4.69,3661899,4051995,-9.62,-
1219,福壽,880194,936262,847110,-5.98,3.9,4274561,4100650,4.24,-
1220,台榮,261195,246780,306987,5.84,-14.91,1266819,1382781,-8.38,-
1225,福懋油,1070398,1066108,1204594,0.4,-11.14,5073785,5832570,-13.0,-
1227,佳格,1528325,1477143,1574032,3.46,-2.9,8312548,8020469,3.64,-
1229,聯華,456171,460027,452628,-0.83,0.78,2164845,2157044,0.36,-
1231,聯華食,456035,395271,394522,15.37,15.59,2141441,2254289,-5.0,-
1232,大統益,1857562,1870764,1805494,-0.7,2.88,9255257,8410099,10.04,-
1233,天仁,186003,159463,164969,16.64,12.75,904489,850021,6.4,-
1234,黑松,489293,418908,551334,16.8,-11.25,2177949,2594098,-16.04,-
1235,興泰,14153,14740,27815,-3.98,-49.11,66563,107552,-38.11,-
