公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,9885013,10178622,10228796,-2.88,-3.36,72503345,77441616,-6.37,-
1102,亞泥,6683133,6798878,7203378,-1.7,-7.22,47307654,58814366,-19.56,-
1103,嘉泥,152585,173129,162363,-11.86,-6.02,1318033,1211851,8.76,-
1104,環泥,366990,477040,380445,-23.06,-3.53,3435661,3160150,8.71,-
1108,幸福,366847,384035,298541,-4.47,22.87,2977578,2347192,26.85,-
1109,信大,625696,656183,727862,-4.64,-14.03,4537827,4897910,-7.35,-
1110,東泥,98636,124643,120521,-20.86,-18.15,993770,1016890,-2.27,-
1201,味全,1860519,1720915,2010851,8.11,-7.47,12171137,13635540,-10.73,-
1203,味王,509509,490401,573610,3.89,-11.17,4051015,4204042,-3.63,-
1210,大成,6771132,6397684,6927433,5.83,-2.25,50115919,50656618,-1.06,-
1213,大飲,64820,53900,50864,20.25,27.43,285217,341430,-16.46,-
1215,卜蜂,1892166,1884932,1835593,0.38,3.08,14446191,13766503,4.93,-
1216,統一,41212854,40509558,41324567,1.73,-0.27,300458957,303861038,-1.11,-
1217,愛之味,639670,430161,637949,48.7,0.26,3220304,3173089,1.48,-
1218,泰山,853882,831903,833163,2.64,2.48,5610479,5414254,3.62,-
1219,福壽,975254,980279,999824,-0.51,-2.45,7872797,8050290,-2.2,-
1220,台榮,260431,264847,261871,-1.66,-0.54,1768466,1845748,-4.18,-
1225,福懋油,826403,847382,927042,-2.47,-10.85,6653667,7001107,-4.96,-
1227,佳格,3167337,2474374,3045171,28.0,4.01,20265780,18659414,8.6,-
1229,聯華,701837,725137,1240355,-3.21,-43.41,6183870,5188026,19.19,本公司本月營收衰退主因去年度於8月認列現金股利，而今年度於6月認列。
1231,聯華食,900089,787417,789158,14.3,14.05,5791250,5729857,1.07,-
1232,大統益,1457410,1465369,1503403,-0.54,-3.05,10948019,11158144,-1.88,-
1233,天仁,170359,164578,198165,3.51,-14.03,1238771,1488528,-16.77,-
1234,黑松,983169,936282,942073,5.0,4.36,5992437,6001899,-0.15,-
1235,興泰,9481,6635,6382,42.89,48.55,27170,23524,15.49,-
1236,宏亞,146991,122704,170372,19.79,-13.72,956759,1136349,-15.8,-
1702,南僑,1626214,1404101,1544160,15.81,5.31,10913096,11893226,-8.24,-
1737,臺鹽,257340,247573,258901,3.94,-0.6,2020220,1913368,5.58,-
1301,台塑,14622498,15716282,16949937,-6.95,-13.73,115342063,144042455,-19.92,-
1303,南亞,22209740,21752364,23781522,2.1,-6.6,170144193,191116403,-10.97,-
1304,台聚,4006402,4099746,4735910,-2.27,-15.4,30321059,37500001,-19.14,-
1305,華夏,1058853,1068490,1381919,-0.9,-23.37,8005522,10284758,-22.16,-
1307,三芳,677965,528216,941448,28.34,-27.98,5334693,6815251,-21.72,-
1308,亞聚,407986,432139,528587,-5.58,-22.81,3512254,4478212,-21.57,-
1309,台達化,1366998,1404282,1432733,-2.65,-4.58,9295836,11976264,-22.38,-
1310,台苯,654054,682498,1075426,-4.16,-39.18,4915099,8462421,-41.91,-
1312,國喬,1443785,1328986,1621653,8.63,-10.96,9983340,14011790,-28.75,-
1313,聯成,4621335,4292844,4947933,7.65,-6.6,29949787,41795787,-28.34,-
1314,中石化,1242352,1166126,2850755,6.53,-56.42,11793624,21808473,-45.92,受疫情影響致終端需求仍呈現疲軟
1315,達新,191602,240945,237353,-20.47,-19.27,1437383,1616449,-11.07,-
1321,大洋,447705,450073,429246,-0.52,4.3,3076573,3086528,-0.32,-
1323,永裕,252044,279151,295515,-9.71,-14.71,2193501,2353083,-6.78,-
1324,地球,86992,88678,92566,-1.9,-6.02,708616,766879,-7.59,-
1325,恆大,452980,399921,52577,13.26,761.55,2521389,535427,370.91,受新冠肺炎影響致營收增加
1326,台化,18984099,20451507,25985347,-7.17,-26.94,159867505,226741849,-29.49,-
4306,炎洲,1156332,1103473,1434164,4.79,-19.37,8713089,10764088,-19.05,-
1402,遠東新,16731731,15997860,20288593,4.58,-17.53,133910000,169985006,-21.22,-
1409,新纖,2949597,2458078,3357589,19.99,-12.15,20230715,26863837,-24.69,-
1410,南染,31428,31295,35635,0.42,-11.8,262421,269456,-2.61,-
1413,宏洲,100864,90952,214577,10.89,-52.99,954722,2184375,-56.29,疫情影響，下游需求急速萎縮
1414,東和,58930,40033,61659,47.2,-4.42,428768,570739,-24.87,-
1417,嘉裕,81197,90463,113433,-10.24,-28.41,675505,930656,-27.41,-
1418,東華,3575,6940,13287,-48.48,-73.09,65506,174787,-62.52,因客戶受新冠狀肺炎疫情之影響調降開工率及主原料丙烯腈價格下跌，造成亞克力纖維市場需求停滯。
1419,新紡,155070,112340,166996,38.03,-7.14,1264149,1162539,8.74,-
1423,利華,13614,14835,41673,-8.23,-67.33,151080,356042,-57.56,受到全球肺炎疫情依舊嚴峻以及低迷之經濟情勢影響，導致毛價出現持續性下跌，銷售因此較去年同期明顯出現萎縮。
1434,福懋,2189192,2081782,3029589,5.15,-27.73,19302984,25514469,-24.34,-
1439,中和,6712,7998,10921,-16.07,-38.54,84539,125843,-32.82,-
1440,南紡,1230819,1348536,1875976,-8.72,-34.39,11179929,15664997,-28.63,-
1441,大東,178603,125484,120395,42.33,48.34,1079823,992378,8.81,-
1443,立益,46155,41296,57781,11.76,-20.12,353905,454792,-22.18,-
1444,力麗,696679,601444,1060625,15.83,-34.31,5409480,8305700,-34.87,-
1445,大宇,67213,66974,88487,0.35,-24.04,616611,922184,-33.13,-
1446,宏和,81594,28078,45462,190.59,79.47,348032,315263,10.39,營建收入增加
1447,力鵬,960407,622904,1074439,54.18,-10.61,6532291,10164624,-35.73,-
1449,佳和,239951,86690,198862,176.79,20.66,1243447,1595288,-22.05,-
1451,年興,657733,669496,723471,-1.75,-9.08,4287788,5741554,-25.32,-
1452,宏益,110149,81921,150673,34.45,-26.89,710064,1342276,-47.1,-
1453,大將,266,172376,37,-99.84,618.91,218877,576,37899.47,"本年營收增加,係因本年銷售待售房屋及營建用地所致"
1454,台富,63413,89393,137104,-29.06,-53.74,784791,1294891,-39.39,因為新冠肺炎疫情影響，全球需求銳減
1455,集盛,715912,523263,955462,36.81,-25.07,4667543,8555582,-45.44,-
1456,怡華,69680,44070,24891,58.11,179.94,357981,567082,-36.87,本月認列建設收入較去年本月增加所致
1457,宜進,193402,171135,394054,13.01,-50.91,1736569,3479257,-50.08,"主係台南廠停止生產及新冠肺炎疫情影響,致營業額大幅降低。"
1459,聯發,124555,108393,213846,14.91,-41.75,1041386,2216389,-53.01,受新型冠狀病毒疫情影響，致本期營業收入淨額較去年同期大幅度減少。
1460,宏遠,600632,555438,717053,8.13,-16.23,4192278,5530197,-24.19,-
1463,強盛,26967,25016,77681,7.79,-65.28,318113,400713,-20.61,受疫情影響，致訂單減少
1464,得力,640626,473280,1001832,35.35,-36.05,5108007,6613293,-22.76,-
1465,偉全,27972,25290,46839,10.6,-40.28,272035,695052,-60.86,本年營收較去年同期減少，主要係因去年同期含已處分子公司之營收及本年度受疫情影響客戶需求萎縮。
1466,聚隆,227247,213118,268055,6.62,-15.22,1546207,2351955,-34.25,-
1467,南緯,1118168,1099563,656382,1.69,70.35,4738993,4644884,2.02,因受新冠病毒影響，集團8月增加防護衣及隔離衣外銷營收，營收大幅增加，以致營收較去年同期增加約70.35%。
1468,昶和,68829,83704,83902,-17.77,-17.96,657595,686261,-4.17,-
1470,大統新創,51766,35419,88088,46.15,-41.23,381054,559621,-31.9,-
1472,三洋紡,47230,28745,45827,64.3,3.06,196562,241861,-18.72,-
1473,台南,578104,530119,772965,9.05,-25.2,4152631,5408834,-23.22,-
1474,弘裕,225541,242144,290603,-6.85,-22.38,1739735,2298112,-24.29,-
1475,業旺,10597,9420,4280,12.49,147.59,43150,38918,10.87,主要開始銷售染劑產品
1476,儒鴻,2040791,2733446,2483930,-25.33,-17.84,16235196,18129460,-10.44,-
1477,聚陽,3116299,2220229,2416786,40.35,28.94,16192946,17441435,-7.15,-
4414,如興,1703554,1692605,1788205,0.64,-4.73,11547044,10272653,12.4,-
4426,利勤,115635,105752,236583,9.34,-51.12,831494,1629325,-48.96,因國外新冠肺炎疫情嚴重影響，導致出貨減少
4438,廣越,1813260,1771757,2257087,2.34,-19.66,8605460,10705973,-19.62,-
1503,士電,1935498,1901013,2069620,1.81,-6.48,16244808,17238239,-5.76,-
1504,東元,3678179,3940025,3656358,-6.64,0.59,29391646,31836390,-7.67,-
1506,正道,61639,60308,97932,2.2,-37.05,566091,820842,-31.03,-
1507,永大,1443483,1374677,1170612,5.0,23.31,9409207,8832696,6.52,此為本公司自結數
1513,中興電,1324092,1087951,833099,21.7,58.93,8794871,7675568,14.58,本月合併營收較去年同期增加，主要係設備投入工程增加 ，依工進認列收入致營收增加•
1514,亞力,362926,416869,345898,-12.94,4.92,3275081,3124467,4.82,-
1515,力山,1127421,1083857,729184,4.01,54.61,5508208,4981619,10.57,客戶銷售狀況好增加採購量
1517,利奇,327135,350337,239120,-6.62,36.8,1943770,2000209,-2.82,-
1519,華城,918051,613204,656929,49.71,39.74,5015942,3734398,34.31,-
