公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,8468346,7695107,11561838,10.04,-26.75,29908489,38286284,-21.88,-
1102,亞泥,5767824,5274419,6735805,9.35,-14.37,21173414,23003890,-7.95,-
1103,嘉泥,273126,200719,385738,36.07,-29.19,944449,1405134,-32.78,本年累計及本月營收皆較去年同期減少，主係大陸子公司水泥銷貨減少所致。
1104,環泥,447811,471332,499672,-4.99,-10.37,1775209,1878833,-5.51,-
1108,幸福,432670,431529,457432,0.26,-5.41,1724558,1674071,3.01,-
1109,信大,374165,305303,493364,22.55,-24.16,1325954,1685389,-21.32,"市場需求轉弱,價量同步下跌。"
1110,東泥,167054,164664,178352,1.45,-6.33,642487,674073,-4.68,-
1201,味全,1747838,1633813,2448508,6.97,-28.61,6449492,9062390,-28.83,-
1203,味王,538441,559125,467621,-3.69,15.14,2198535,1968739,11.67,-
1210,大成,6503540,6701988,7860482,-2.96,-17.26,26714352,29824000,-10.42,-
1213,大飲,44865,40172,43192,11.68,3.87,227591,209235,8.77,-
1215,卜蜂,1273970,1247542,1428903,2.11,-10.84,5282434,5587242,-5.45,-
1216,統一,33626211,35048885,34122145,-4.05,-1.45,138564584,141229178,-1.88,2015年起合資公司自比例合併法改採以權益法投資認列，為求兩期比較基礎一致，故同步調整去年同期公告之影響數。
1217,愛之味,323942,328706,298616,-1.44,8.48,1336188,1152876,15.9,-
1218,泰山,576355,640163,736942,-9.96,-21.79,2564454,2819423,-9.04,-
1219,福壽,757601,780920,936262,-2.98,-19.08,3072353,3394367,-9.48,-
1220,台榮,261946,230455,246780,13.66,6.14,1088807,1005624,8.27,-
1225,福懋油,845041,893328,1066108,-5.4,-20.73,3563654,4003387,-10.98,-
1227,佳格,1552355,1478453,1477143,4.99,5.09,8735407,6784223,28.76,-
1229,聯華,437328,425004,460027,2.89,-4.93,1691367,1708674,-1.01,-
1231,聯華食,456384,493056,395271,-7.43,15.46,2134054,1685406,26.61,-
1232,大統益,1476255,1546303,1870764,-4.53,-21.08,6227244,7397696,-15.82,-
1233,天仁,162983,152671,159463,6.75,2.2,730607,718486,1.68,-
1234,黑松,406628,463697,418908,-12.3,-2.93,1737817,1688656,2.91,-
1235,興泰,8279,7648,14740,8.25,-43.83,30610,52409,-41.59,-
1236,宏亞,137663,150322,160036,-8.42,-13.97,843623,822015,2.62,-
1702,南僑,1239604,1198066,1192849,3.46,3.91,4813828,4554505,5.69,-
1737,臺鹽,223475,236281,202987,-5.41,10.09,862824,831602,3.75,-
1301,台塑,18026497,18158909,19726924,-0.72,-8.61,65723609,71716795,-8.35,-
1303,南亞,28730095,28871504,27575900,-0.48,4.18,108255867,105049859,3.05,-
1304,台聚,4790062,4883794,5535730,-1.91,-13.47,17865820,19249337,-7.18,-
1305,華夏,1155237,1355334,1386752,-14.76,-16.69,4816294,4915329,-2.01,-
1307,三芳,954498,1217586,1085995,-21.6,-12.1,3926082,3911936,0.36,-
1308,亞聚,462895,468097,537581,-1.11,-13.89,1693560,1881941,-10.0,-
1309,台達化,1805668,1620933,2023689,11.39,-10.77,5880563,6387354,-7.93,-
1310,台苯,1372160,1199903,1761426,14.35,-22.09,3640200,7036083,-48.26,-
1312,國喬,2057338,1925580,1953724,6.84,5.3,7068519,8155386,-13.32,-
1313,聯成,4066861,4418262,4931291,-7.95,-17.52,14962077,18055634,-17.13,-
1314,中石化,2463561,2571022,2665503,-4.17,-7.57,9862133,11608995,-15.04,-
1315,達新,197009,225789,188729,-12.74,4.38,836566,820724,1.93,-
1321,大洋,403096,489402,513657,-17.63,-21.52,1681625,1804752,-6.82,-
1323,永裕,239305,265988,281036,-10.03,-14.84,987499,1106941,-10.79,-
1324,地球,108559,120206,118142,-9.68,-8.11,424390,494706,-14.21,-
1325,恆大,103457,103371,101003,0.08,2.42,383436,393976,-2.67,-
1326,台化,30222154,29554848,36806934,2.25,-17.89,111131202,137767230,-19.33,-
4306,炎洲,1579743,1440642,1700429,9.65,-7.09,5638836,6506763,-13.33,-
1402,遠東新,18865899,18546090,18946157,1.72,-0.42,72438483,77206377,-6.17,-
1409,新纖,3421964,3405447,3734650,0.48,-8.37,12424592,15158618,-18.03,-
1410,南染,60297,58635,55925,2.83,7.81,203113,194778,4.27,-
1413,宏洲,251637,235413,290825,6.89,-13.47,831207,1248248,-33.41,-
1414,東和,99350,111434,102008,-10.84,-2.6,396326,432370,-8.33,-
1417,嘉裕,241295,296597,234264,-18.64,3.0,1179771,1114351,5.87,-
1418,東華,157406,149302,140738,5.42,11.84,479350,561728,-14.66,-
1419,新紡,95253,95582,88510,-0.34,7.61,361083,361880,-0.22,-
1423,利華,73609,51418,65637,43.15,12.14,229676,218718,5.01,-
1434,福懋,4095437,4197184,4390204,-2.42,-6.71,15121438,16316341,-7.32,-
1439,中和,19972,36120,34342,-44.7,-41.84,115515,108756,6.21,-
1440,南紡,1901271,2040026,1795391,-6.8,5.89,7180527,6357278,12.94,-
1441,大東,164013,203435,112831,-19.37,45.36,652467,444824,46.67,-
1443,立益,117985,113664,175828,3.8,-32.89,390724,553789,-29.44,-
1444,力麗,939196,971263,1020412,-3.3,-7.95,3699158,3763959,-1.72,-
1445,大宇,157101,163196,172193,-3.73,-8.76,629598,630498,-0.14,-
1446,宏和,46084,91102,61515,-49.41,-25.08,246168,267750,-8.06,-
1447,力鵬,1887494,1909876,2102664,-1.17,-10.23,6500497,8079617,-19.54,-
1449,佳和,269119,236820,295431,13.63,-8.9,916758,1053603,-12.98,-
1451,年興,1092318,1023139,1099880,6.76,-0.68,3834513,4175609,-8.16,-
1452,宏益,166495,206973,175502,-19.55,-5.13,742948,700537,6.05,-
1453,大將,9311,8518,12889,9.3,-27.76,40217,72953,-44.87,-
1454,台富,182264,206194,204703,-11.6,-10.96,712156,660819,7.76,-
1455,集盛,1505210,1515130,1698672,-0.65,-11.38,5530217,6201993,-10.83,-
1456,怡華,44320,48573,88650,-8.75,-50.0,182311,335649,-45.68,-
1457,宜進,312759,308204,422207,1.47,-25.92,1106899,1538221,-28.04,-
1459,聯發,323934,383302,348700,-15.48,-7.1,1326034,1358464,-2.38,-
1460,宏遠,737509,777376,727025,-5.12,1.44,2831278,2630354,7.63,-
1463,強盛,48239,57887,52864,-16.66,-8.74,182426,179572,1.58,-
1464,得力,593106,581487,439220,1.99,35.03,2141979,1622844,31.98,-
1465,偉全,228232,198918,252736,14.73,-9.69,751158,840732,-10.65,-
1466,聚隆,384793,374619,409425,2.71,-6.01,1433466,1587339,-9.69,-
1467,南緯,577965,599972,698968,-3.66,-17.31,2263119,2159106,4.81,-
1468,昶和,77329,60293,75003,28.25,3.1,249901,282449,-11.52,-
1470,大統新創,83035,69301,77912,19.81,6.57,282694,279324,1.2,-
1472,三洋紡,79178,68950,75946,14.83,4.25,265507,293427,-9.51,-
1473,台南,622245,846433,666723,-26.48,-6.67,3125440,3379749,-7.52,-
1474,弘裕,316224,308359,290413,2.55,8.88,1160062,1160163,-0.0,-
1475,業旺,18438,18531,14941,-0.5,23.4,66847,59355,12.62,-
1476,儒鴻,1917486,1590193,1543989,20.58,24.19,6846788,6022365,13.68,-
1477,聚陽,1685801,2216508,1447240,-23.94,16.48,7467829,6660421,12.12,-
4414,如興,186302,189489,198126,-1.68,-5.96,789186,835101,-5.49,-
4426,利勤,209554,222553,118902,-5.84,76.24,703371,440890,59.53,-
4438,廣越,266100,138030,269562,92.78,-1.28,827815,877093,-5.61,-
1503,士電,1584840,1653886,1749575,-4.17,-9.41,6344804,6286531,0.92,-
1504,東元,3904012,4358096,4519925,-10.41,-13.62,15657756,18165242,-13.8,-
1506,正道,137503,126149,129246,9.0,6.38,510913,474839,7.59,-
1507,永大,1726082,1830200,1772957,-5.68,-2.64,7567702,6778204,11.64,此為本公司自結數
1513,中興電,713196,713859,729336,-0.09,-2.21,2794572,2615261,6.85,-
1514,亞力,257262,299290,277904,-14.04,-7.42,1043810,919178,13.55,-
1515,力山,207783,258987,317324,-19.77,-34.52,973293,990973,-1.78,"客戶控管庫存,減少採購"
1517,利奇,302811,328763,311867,-7.89,-2.9,1194325,1226870,-2.65,-
1519,華城,458925,374380,312196,22.58,46.99,1485441,1261314,17.76,-
1526,日馳,79891,81864,66678,-2.41,19.81,279212,239279,16.68,-
1527,鑽全,271757,353593,276418,-23.14,-1.68,1113516,999299,11.42,-
1528,恩德,228066,352463,343365,-35.29,-33.57,1011800,1140534,-11.28,-
1529,樂士,13562,14654,6846,-7.45,98.1,40577,22417,81.0,-
1530,亞崴,288875,430390,280840,-32.88,2.86,1200822,1135980,5.7,-
1531,高林股,262996,250224,265211,5.1,-0.83,910227,1027123,-11.38,-
1532,勤美,1176877,1983517,1435665,-40.66,-18.02,5796112,5038278,15.04,-
1535,中宇,670282,774290,827439,-13.43,-18.99,3233086,3307815,-2.25,-
1537,廣隆,593981,582541,572604,1.96,3.73,2310938,2136879,8.14,-
1538,正峰,63147,75394,74864,-16.24,-15.65,249154,279461,-10.84,-
1539,巨庭,183144,200435,278363,-8.62,-34.2,866119,803329,7.81,-
1540,喬福,77169,82536,82580,-6.5,-6.55,354361,337800,4.9,-
1541,錩泰,223038,261983,241778,-14.86,-7.75,890582,892218,-0.18,-
1558,伸興,449152,386138,469101,16.31,-4.25,1733019,1706381,1.56,-
1560,中砂,352483,337559,378265,4.42,-6.81,1369627,1405969,-2.58,-
1583,程泰,593466,801852,523449,-25.98,13.37,2401591,2148367,11.78,-
1597,直得,99045,88622,82562,11.76,19.96,340902,311820,9.32,-
2049,上銀,1394903,1321249,1130021,5.57,23.44,5031120,4141991,21.46,-
2371,大同,7737897,8544706,8241896,-9.44,-6.11,32794126,37708027,-13.03,-
3167,大量,184426,169239,167026,8.97,10.41,664082,642023,3.43,-
4526,東台,716156,624885,718114,14.6,-0.27,2499369,2559315,-2.34,-
4532,瑞智,1532976,1643400,1726418,-6.71,-11.2,5771417,6840570,-15.62,-
4540,全球傳動,148176,177722,142184,-16.62,4.21,595350,440929,35.02,-
4555,氣立,105251,97242,96129,8.23,9.48,376521,308233,22.15,-
8222,寶一,93266,64582,76666,44.41,21.65,299727,258572,15.91,-
8374,羅昇,366077,437769,431411,-16.37,-15.14,1321151,1274031,3.69,-
8996,高力,162467,191169,214420,-15.01,-24.22,713624,767890,-7.06,-
1603,華電,264498,276418,308068,-4.31,-14.14,888906,1017851,-12.66,-
1604,聲寶,986619,890513,884056,10.79,11.6,3374779,3432072,-1.66,-
1605,華新,13480698,12985900,14032239,3.81,-3.93,49289606,50677068,-2.73,-
1608,華榮,710612,837721,882270,-15.17,-19.45,2916960,3377152,-13.62,-
1609,大亞,1342571,1490315,1409116,-9.91,-4.72,5054582,5150453,-1.86,-
1611,中電,238287,255899,233770,-6.88,1.93,950548,983733,-3.37,-
1612,宏泰,280790,318029,295126,-11.7,-4.85,1092414,1452544,-24.79,-
1614,三洋電,460382,401781,419850,14.58,9.65,1541300,1458096,5.7,-
1615,大山,201082,243465,202167,-17.4,-0.53,815273,854094,-4.54,-
1616,億泰,309344,339116,323629,-8.77,-4.41,1236395,1360087,-9.09,-
1617,榮星,272828,276304,310633,-1.25,-12.17,1022666,1152357,-11.25,-
1618,合機,110124,223385,143120,-50.7,-23.05,529630,750968,-29.47,-
4930,燦星網,1106083,1160000,1116214,-4.64,-0.9,4410717,4151827,6.23,-
5283,禾聯碩,349736,349716,304240,0.0,14.95,1298111,1237498,4.89,-
1708,東鹼,408024,430850,346268,-5.29,17.83,1567015,1364719,14.82,-
1709,和益,944681,1017743,936372,-7.17,0.88,3657941,3984740,-8.2,-
1710,東聯,1412486,1361897,1272889,3.71,10.96,4252438,4877117,-12.8,無
1711,永光,937840,962743,991881,-2.58,-5.44,3370944,3336490,1.03,-
1712,興農,1429134,1918130,1547182,-25.49,-7.62,6140231,5890410,4.24,-
1713,國化,71105,76716,60634,-7.31,17.26,261096,230874,13.09,-
1714,和桐,3786216,3975489,5390206,-4.76,-29.75,15224728,19135154,-20.43,-
1717,長興,3341762,3447717,3620868,-3.07,-7.7,12460913,12398698,0.5,-
1718,中纖,3006958,2981120,2967442,0.86,1.33,11410245,12060136,-5.38,"本月份自結異業別合併營收資訊,未經會計師簽證或核閱"
1721,三晃,179028,150673,131547,18.81,36.09,518528,577086,-10.14,104.04月營業收入淨額較103.04月增加36.09%，差異原因為特化部門產品營收較為去年同期增加所致。
1722,台肥,1133985,1651154,1212744,-31.32,-6.49,4970043,4733242,5.0,-
1723,中碳,561067,580212,884649,-3.29,-36.57,2147774,3275445,-34.42,-
1724,台硝,131164,148913,104817,-11.91,25.13,532490,293243,81.58,-
1725,元禎,759575,846905,916144,-10.31,-17.08,3059670,3296589,-7.18,-
1726,永記,677988,729360,739000,-7.04,-8.25,2757529,2748469,0.32,-
1727,中華化,216019,197774,192043,9.22,12.48,751013,665456,12.85,-
1730,花仙子,138177,148677,115292,-7.06,19.84,603800,465369,29.74,-
1732,毛寶,49985,38456,46112,29.97,8.39,205205,188045,9.12,-
1735,日勝化,420013,368149,457853,14.08,-8.26,1301324,1461232,-10.94,-
1773,勝一,600467,623115,596746,-3.63,0.62,2226389,2346365,-5.11,-
1776,展宇,201276,224872,213580,-10.49,-5.76,713183,691960,3.06,-
4720,德淵,203463,226275,193662,-10.08,5.06,764945,657930,16.26,-
4722,國精化,417841,427172,445320,-2.18,-6.17,1515842,1569009,-3.38,-
4725,信昌化,1427088,1503730,2397291,-5.09,-40.47,4597001,8513232,-46.0,-
4739,康普,333912,355000,237674,-5.94,40.49,1282613,897241,42.95,-
4755,三福化,275479,274776,312498,0.25,-11.84,1155617,1128766,2.37,-
1598,岱宇,245507,409246,351430,-40.0,-30.14,1408322,1378966,2.12,-
1701,中化,530386,438161,457576,21.04,15.91,1909955,1819942,4.94,-
1707,葡萄王,617438,649235,535985,-4.89,15.19,2269766,1924034,17.96,-
1720,生達,252303,271746,274238,-7.15,-7.99,1058884,1072386,-1.25,-
1731,美吾華,116621,115232,94081,1.2,23.95,464181,390094,18.99,-
1733,五鼎,156312,182136,127486,-14.17,22.61,630594,550708,14.5,-
1734,杏輝,171040,180970,229903,-5.48,-25.6,650615,909480,-28.46,-
1736,喬山,1177272,1228500,1070266,-4.16,9.99,4601850,4732797,-2.76,-
1760,寶齡富錦,78811,136558,70864,-42.28,11.21,368122,306598,20.06,無。
1762,中化生,92121,166572,95643,-44.69,-3.68,348829,344738,1.18,-
1783,和康生,22572,25538,25929,-11.61,-12.94,78248,86986,-10.04,-
1786,科妍,24236,25002,10303,-3.06,135.23,84493,47950,76.21,-
1789,神隆,329446,345203,408670,-4.56,-19.38,1308504,1505915,-13.1,-
